tic_id,sector,fits_file,period,t0_bjd,t0_btjd,duration_hours,tstart,tstop,matched_transit_time
26817284,75,tess2024030031500-s0075-0000000026817284-0270-s_lc.fits,4.977656,2454967.67151,-2032.3284900002182,2.553,3339.782319024819,3367.481054752946,3343.539989999781
26817284,81,tess2024196212429-s0081-0000000026817284-0276-s_lc.fits,4.977656,2454967.67151,-2032.3284900002182,2.553,3506.553945779954,3533.179089833398,3507.802637999782
26817284,82,tess2024223182411-s0082-0000000026817284-0278-s_lc.fits,4.977656,2454967.67151,-2032.3284900002182,2.553,3533.394367591726,3559.248259213343,3537.668573999781
26817863,74,tess2024003055635-s0074-0000000026817863-0269-s_lc.fits,6.91134416,2454969.6481,-2030.3519000001252,5.6555,3312.861865548211,3339.567075817677,3319.0284798398743
26817863,75,tess2024030031500-s0075-0000000026817863-0270-s_lc.fits,6.91134416,2454969.6481,-2030.3519000001252,5.6555,3339.782352359881,3367.481080321709,3346.6738564798743
26817863,81,tess2024196212429-s0081-0000000026817863-0276-s_lc.fits,6.91134416,2454969.6481,-2030.3519000001252,5.6555,3506.553910326599,3533.179057232452,3512.5461163198743
26817863,82,tess2024223182411-s0082-0000000026817863-0278-s_lc.fits,6.91134416,2454969.6481,-2030.3519000001252,5.6555,3533.394335032223,3559.248235677192,3540.1914929598743
27006192,74,tess2024003055635-s0074-0000000027006192-0269-s_lc.fits,10.065275,2454969.28185,-2030.718150000088,1.44,3312.862033052048,3339.567214091605,3313.9428749999115
27006192,75,tess2024030031500-s0075-0000000027006192-0270-s_lc.fits,10.065275,2454969.28185,-2030.718150000088,1.44,3339.782490220535,3367.481155976068,3344.138699999912
27006192,76,tess2024058030222-s0076-0000000027006192-0271-s_lc.fits,10.065275,2454969.28185,-2030.718150000088,1.44,3367.696430746008,3394.776065349581,3374.334524999912
27006192,81,tess2024196212429-s0081-0000000027006192-0276-s_lc.fits,10.065275,2454969.28185,-2030.718150000088,1.44,3506.553743625446,3533.178931122993,3515.248374999912
27006192,82,tess2024223182411-s0082-0000000027006192-0278-s_lc.fits,10.065275,2454969.28185,-2030.718150000088,1.44,3533.394209320905,3559.24817351013,3535.3789249999118
27006192,83,tess2024249191853-s0083-0000000027006192-0280-s_lc.fits,10.065275,2454969.28185,-2030.718150000088,1.44,3559.428726539999,3584.376811303739,3565.5747499999115
27007509,74,tess2024003055635-s0074-0000000027007509-0269-s_lc.fits,24.7576421,2454975.06892,-2024.9310800000094,7.361,3312.861952757257,3339.567140673817,3322.719613599991
27007509,75,tess2024030031500-s0075-0000000027007509-0270-s_lc.fits,24.7576421,2454975.06892,-2024.9310800000094,7.361,3339.782416948731,3367.481106759861,3347.4772556999906
27007509,81,tess2024196212429-s0081-0000000027007509-0276-s_lc.fits,24.7576421,2454975.06892,-2024.9310800000094,7.361,3506.553826216878,3533.179000760543,3520.780750399991
27007509,82,tess2024223182411-s0082-0000000027007509-0278-s_lc.fits,24.7576421,2454975.06892,-2024.9310800000094,7.361,3533.394278813868,3559.248217080659,3545.5383924999915
